method,state,basis,IP_eV
GW@RHF,A_1,6-31G,13.25
GW@RHF,A_1,cc-pVDZ,13.17
GW@RHF,A_1,cc-pVTZ,13.62
GW@RHF,A_1,aug-cc-pVTZ,13.71
GW@RHF,B_2,6-31G,13.52
GW@RHF,B_2,cc-pVDZ,13.30
GW@RHF,B_2,cc-pVTZ,13.72
GW@RHF,B_2,aug-cc-pVTZ,13.80
GW@RHF,A_2,6-31G,13.20
GW@RHF,A_2,cc-pVDZ,13.06
GW@RHF,A_2,cc-pVTZ,13.46
GW@RHF,A_2,aug-cc-pVTZ,13.55
EOM-CCSD,A_1,6-31G,12.42
EOM-CCSD,A_1,cc-pVDZ,12.35
EOM-CCSD,A_1,cc-pVTZ,12.77
EOM-CCSD,A_1,aug-cc-pVTZ,12.94
EOM-CCSD,B_2,6-31G,12.64
EOM-CCSD,B_2,cc-pVDZ,12.45
EOM-CCSD,B_2,cc-pVTZ,12.85
EOM-CCSD,B_2,aug-cc-pVTZ,13.01
EOM-CCSD,A_2,6-31G,13.38
EOM-CCSD,A_2,cc-pVDZ,13.11
EOM-CCSD,A_2,cc-pVTZ,13.41
EOM-CCSD,A_2,aug-cc-pVTZ,13.56
MR-GW(6,4),B_2,6-31G,12.94
MR-GW(6,4),B_2,cc-pVDZ,12.63
MR-GW(6,4),B_2,cc-pVTZ,12.99
MR-GW(6,4),A_1,6-31G,12.65
MR-GW(6,4),A_1,cc-pVDZ,12.54
MR-GW(6,4),A_1,cc-pVTZ,12.93
MR-GW(6,4),A_2,6-31G,14.56
MR-GW(6,4),A_2,cc-pVDZ,14.31
MR-GW(6,4),A_2,cc-pVTZ,14.59
