panel,method,state,angle_deg,value
CAS-Cmax,"CAS(6,4)",Cmax2,90.0,0.8467874365394142
CAS-Cmax,"CAS(6,4)",Cmax2,94.0,0.8527062508471909
CAS-Cmax,"CAS(6,4)",Cmax2,98.0,0.8578952415403727
CAS-Cmax,"CAS(6,4)",Cmax2,102.0,0.8625342477145415
CAS-Cmax,"CAS(6,4)",Cmax2,106.0,0.8667634227969911
CAS-Cmax,"CAS(6,4)",Cmax2,110.0,0.8706914480392762
CAS-Cmax,"CAS(6,4)",Cmax2,114.0,0.8744017352224512
CAS-Cmax,"CAS(6,4)",Cmax2,118.0,0.8779566670881467
CAS-Cmax,"CAS(6,4)",Cmax2,122.0,0.8813998723818031
CAS-Cmax,"CAS(6,4)",Cmax2,126.0,0.8847566149334413
CAS-Cmax,"CAS(6,4)",Cmax2,130.0,0.8880321379143078
CAS-Cmax,"CAS(6,4)",Cmax2,134.0,0.8912073154460715
CAS-Cmax,"CAS(6,4)",Cmax2,138.0,0.8942300581223375
CAS-Cmax,"CAS(6,4)",Cmax2,142.0,0.8969978500575195
CAS-Cmax,"CAS(6,4)",Cmax2,146.0,0.8993388384016198
CAS-Cmax,"CAS(8,6)",Cmax2,90.0,0.819611377894843
CAS-Cmax,"CAS(8,6)",Cmax2,94.0,0.8262451705281288
CAS-Cmax,"CAS(8,6)",Cmax2,98.0,0.8318329523027063
CAS-Cmax,"CAS(8,6)",Cmax2,102.0,0.8365822636046785
CAS-Cmax,"CAS(8,6)",Cmax2,106.0,0.8406439071107183
CAS-Cmax,"CAS(8,6)",Cmax2,110.0,0.844121178174521
CAS-Cmax,"CAS(8,6)",Cmax2,114.0,0.8470813128546201
CAS-Cmax,"CAS(8,6)",Cmax2,118.0,0.8495661879741897
CAS-Cmax,"CAS(8,6)",Cmax2,122.0,0.8516014399315466
CAS-Cmax,"CAS(8,6)",Cmax2,126.0,0.8532039710024458
CAS-Cmax,"CAS(8,6)",Cmax2,130.0,0.8543884872026497
CAS-Cmax,"CAS(8,6)",Cmax2,134.0,0.8551745524806267
CAS-Cmax,"CAS(8,6)",Cmax2,138.0,0.85559638438006
CAS-Cmax,"CAS(8,6)",Cmax2,142.0,0.8557171296308866
CAS-Cmax,"CAS(8,6)",Cmax2,146.0,0.8556587606796201
CAS-Cmax,"CAS(12,9)",Cmax2,90.0,0.7670059925792566
CAS-Cmax,"CAS(12,9)",Cmax2,94.0,0.7782583609309511
CAS-Cmax,"CAS(12,9)",Cmax2,98.0,0.7866213265480723
CAS-Cmax,"CAS(12,9)",Cmax2,102.0,0.7928843079058364
CAS-Cmax,"CAS(12,9)",Cmax2,106.0,0.7975073304335446
CAS-Cmax,"CAS(12,9)",Cmax2,110.0,0.8008154106007395
CAS-Cmax,"CAS(12,9)",Cmax2,114.0,0.8030171876982521
CAS-Cmax,"CAS(12,9)",Cmax2,118.0,0.804250208258661
CAS-Cmax,"CAS(12,9)",Cmax2,122.0,0.8046069724296534
CAS-Cmax,"CAS(12,9)",Cmax2,126.0,0.8041528543227029
CAS-Cmax,"CAS(12,9)",Cmax2,130.0,0.8029403592828878
CAS-Cmax,"CAS(12,9)",Cmax2,134.0,0.8010274225609816
CAS-Cmax,"CAS(12,9)",Cmax2,138.0,0.7984882645937281
CAS-Cmax,"CAS(12,9)",Cmax2,142.0,0.795455231862078
CAS-Cmax,"CAS(12,9)",Cmax2,146.0,0.7921819319140745
