panel,method,state,angle_deg,value
GW@RHF,DMRG,A_1,90.0,12.823198260571647
GW@RHF,DMRG,A_1,91.0,12.894345055493343
GW@RHF,DMRG,A_1,92.0,12.94333291549765
GW@RHF,DMRG,A_1,94.0,12.992247523883798
GW@RHF,DMRG,A_1,98.0,12.977085317936162
GW@RHF,DMRG,A_1,102.0,12.886558876863186
GW@RHF,DMRG,A_1,106.0,12.759523472691171
GW@RHF,DMRG,A_1,110.0,12.612471287862888
GW@RHF,DMRG,A_1,114.0,12.452892050047282
GW@RHF,DMRG,A_1,118.0,12.285229479789018
GW@RHF,DMRG,A_1,122.0,12.111479685615723
GW@RHF,DMRG,A_1,126.0,11.929728294562645
GW@RHF,DMRG,A_1,130.0,11.743757129589186
GW@RHF,DMRG,A_1,134.0,11.55215324481232
GW@RHF,DMRG,A_1,138.0,11.354452698924158
GW@RHF,DMRG,A_1,142.0,11.153085298355117
GW@RHF,DMRG,A_1,146.0,10.947169487109242
GW@RHF,DMRG,B_2,90.0,10.983098424454841
GW@RHF,DMRG,B_2,94.0,11.374902779053773
GW@RHF,DMRG,B_2,98.0,11.699407375698886
GW@RHF,DMRG,B_2,102.0,11.966715825267563
GW@RHF,DMRG,B_2,106.0,12.185952040827742
GW@RHF,DMRG,B_2,110.0,12.364374103441136
GW@RHF,DMRG,B_2,114.0,12.507472094852671
GW@RHF,DMRG,B_2,118.0,12.620841508415602
GW@RHF,DMRG,B_2,122.0,12.708843447900279
GW@RHF,DMRG,B_2,126.0,12.769205782973861
GW@RHF,DMRG,B_2,130.0,12.810356981636607
GW@RHF,DMRG,B_2,134.0,12.832388538170793
GW@RHF,DMRG,B_2,138.0,12.834921990682265
GW@RHF,DMRG,B_2,142.0,12.821117727428485
GW@RHF,DMRG,B_2,146.0,12.787280210016558
GW@RHF,DMRG,A_2,90.0,12.877025486653315
GW@RHF,DMRG,A_2,94.0,12.985096686195808
GW@RHF,DMRG,A_2,98.0,13.077727314166642
GW@RHF,DMRG,A_2,102.0,13.156119809581304
GW@RHF,DMRG,A_2,106.0,13.22118317627325
GW@RHF,DMRG,A_2,110.0,13.27525369538499
GW@RHF,DMRG,A_2,114.0,13.315720658515664
GW@RHF,DMRG,A_2,118.0,13.347649851746255
GW@RHF,DMRG,A_2,122.0,13.37039163007745
GW@RHF,DMRG,A_2,126.0,13.385642647825456
GW@RHF,DMRG,A_2,130.0,13.393951761624534
GW@RHF,DMRG,A_2,134.0,13.395803078682949
GW@RHF,DMRG,A_2,138.0,13.390975490924614
GW@RHF,DMRG,A_2,142.0,13.379666523993329
GW@RHF,DMRG,A_2,146.0,13.358659099773535
ADC(2),DMRG,A_1,90.0,12.823198260571647
ADC(2),DMRG,A_1,91.0,12.894345055493343
ADC(2),DMRG,A_1,92.0,12.94333291549765
ADC(2),DMRG,A_1,94.0,12.992247523883798
ADC(2),DMRG,A_1,98.0,12.977085317936162
ADC(2),DMRG,A_1,102.0,12.886558876863186
ADC(2),DMRG,A_1,106.0,12.759523472691171
ADC(2),DMRG,A_1,110.0,12.612471287862888
ADC(2),DMRG,A_1,114.0,12.452892050047282
ADC(2),DMRG,A_1,118.0,12.285229479789018
ADC(2),DMRG,A_1,122.0,12.111479685615723
ADC(2),DMRG,A_1,126.0,11.929728294562645
ADC(2),DMRG,A_1,130.0,11.743757129589186
ADC(2),DMRG,A_1,134.0,11.55215324481232
ADC(2),DMRG,A_1,138.0,11.354452698924158
ADC(2),DMRG,A_1,142.0,11.153085298355117
ADC(2),DMRG,A_1,146.0,10.947169487109242
ADC(2),DMRG,B_2,90.0,10.983098424454841
ADC(2),DMRG,B_2,94.0,11.374902779053773
ADC(2),DMRG,B_2,98.0,11.699407375698886
ADC(2),DMRG,B_2,102.0,11.966715825267563
ADC(2),DMRG,B_2,106.0,12.185952040827742
ADC(2),DMRG,B_2,110.0,12.364374103441136
ADC(2),DMRG,B_2,114.0,12.507472094852671
ADC(2),DMRG,B_2,118.0,12.620841508415602
ADC(2),DMRG,B_2,122.0,12.708843447900279
ADC(2),DMRG,B_2,126.0,12.769205782973861
ADC(2),DMRG,B_2,130.0,12.810356981636607
ADC(2),DMRG,B_2,134.0,12.832388538170793
ADC(2),DMRG,B_2,138.0,12.834921990682265
ADC(2),DMRG,B_2,142.0,12.821117727428485
ADC(2),DMRG,B_2,146.0,12.787280210016558
ADC(2),DMRG,A_2,90.0,12.877025486653315
ADC(2),DMRG,A_2,94.0,12.985096686195808
ADC(2),DMRG,A_2,98.0,13.077727314166642
ADC(2),DMRG,A_2,102.0,13.156119809581304
ADC(2),DMRG,A_2,106.0,13.22118317627325
ADC(2),DMRG,A_2,110.0,13.27525369538499
ADC(2),DMRG,A_2,114.0,13.315720658515664
ADC(2),DMRG,A_2,118.0,13.347649851746255
ADC(2),DMRG,A_2,122.0,13.37039163007745
ADC(2),DMRG,A_2,126.0,13.385642647825456
ADC(2),DMRG,A_2,130.0,13.393951761624534
ADC(2),DMRG,A_2,134.0,13.395803078682949
ADC(2),DMRG,A_2,138.0,13.390975490924614
ADC(2),DMRG,A_2,142.0,13.379666523993329
ADC(2),DMRG,A_2,146.0,13.358659099773535
EOM-CCSD,DMRG,A_1,90.0,12.823198260571647
EOM-CCSD,DMRG,A_1,91.0,12.894345055493343
EOM-CCSD,DMRG,A_1,92.0,12.94333291549765
EOM-CCSD,DMRG,A_1,94.0,12.992247523883798
EOM-CCSD,DMRG,A_1,98.0,12.977085317936162
EOM-CCSD,DMRG,A_1,102.0,12.886558876863186
EOM-CCSD,DMRG,A_1,106.0,12.759523472691171
EOM-CCSD,DMRG,A_1,110.0,12.612471287862888
EOM-CCSD,DMRG,A_1,114.0,12.452892050047282
EOM-CCSD,DMRG,A_1,118.0,12.285229479789018
EOM-CCSD,DMRG,A_1,122.0,12.111479685615723
EOM-CCSD,DMRG,A_1,126.0,11.929728294562645
EOM-CCSD,DMRG,A_1,130.0,11.743757129589186
EOM-CCSD,DMRG,A_1,134.0,11.55215324481232
EOM-CCSD,DMRG,A_1,138.0,11.354452698924158
EOM-CCSD,DMRG,A_1,142.0,11.153085298355117
EOM-CCSD,DMRG,A_1,146.0,10.947169487109242
EOM-CCSD,DMRG,B_2,90.0,10.983098424454841
EOM-CCSD,DMRG,B_2,94.0,11.374902779053773
EOM-CCSD,DMRG,B_2,98.0,11.699407375698886
EOM-CCSD,DMRG,B_2,102.0,11.966715825267563
EOM-CCSD,DMRG,B_2,106.0,12.185952040827742
EOM-CCSD,DMRG,B_2,110.0,12.364374103441136
EOM-CCSD,DMRG,B_2,114.0,12.507472094852671
EOM-CCSD,DMRG,B_2,118.0,12.620841508415602
EOM-CCSD,DMRG,B_2,122.0,12.708843447900279
